PRED_INIT,PREY_INIT,PRED_REPRO_PROB,PREY_REPRO_PROB,P0,BIRTH_THRESH_PRED,METAB_PRED,PRED_ENERGY_INIT,PREY_BIRTH_SPLIT,PREY_MOVE_PROB,success_count,success_rate,prey_extinction_count,pred_extinction_count,mean_final_preds,mean_final_preys,mean_min_preds,mean_min_preys,mean_extinction_step,mean_final_preds_success,mean_final_preys_success,mean_group_hunt_share_success,mean_group_hunt_effort_success
65,575,0.045,0.07,0.56,4.8,0.055,1.4,0.42,0.3,5,0.6250,3,0,113.2500,56.6250,9.6250,7.5000,301.0000,73.0000,90.6000,0.9781,0.8969
60,550,0.04,0.072,0.54,4.8,0.055,1.4,0.4,0.3,4,0.5000,4,0,110.2500,42.7500,7.2500,5.1250,403.7500,74.0000,85.5000,0.7979,0.8014
60,575,0.04,0.07,0.56,4.8,0.055,1.4,0.42,0.3,4,0.5000,4,0,127.3750,26.5000,9.1250,2.8750,321.5000,79.2500,53.0000,0.9939,0.8786
70,550,0.04,0.07,0.54,4.8,0.055,1.4,0.4,0.3,4,0.5000,4,0,144.2500,48.5000,9.8750,2.7500,308.2500,85.7500,97.0000,0.8888,0.8401
60,575,0.04,0.07,0.54,4.8,0.055,1.4,0.4,0.3,4,0.5000,4,0,117.5000,32.0000,7.6250,2.5000,352.0000,61.7500,64.0000,0.9952,0.9175
70,575,0.04,0.072,0.56,4.8,0.055,1.4,0.42,0.3,4,0.5000,4,0,145.0000,101.0000,11.5000,1.6250,314.0000,93.0000,202.0000,0.8420,0.8271
60,575,0.04,0.07,0.56,4.8,0.055,1.4,0.4,0.3,4,0.5000,4,0,127.0000,27.7500,7.5000,1.3750,305.2500,68.2500,55.5000,0.9957,0.9018
65,575,0.045,0.07,0.54,4.8,0.055,1.4,0.4,0.3,4,0.5000,4,0,109.5000,64.6250,8.0000,1.2500,347.7500,60.5000,129.2500,0.9931,0.9065
65,575,0.045,0.072,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,174.3750,56.5000,9.6250,12.3750,277.0000,76.0000,150.6667,0.9153,0.8663
70,550,0.045,0.072,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,147.2500,146.8750,12.6250,6.3750,315.8000,126.3333,391.6667,0.9964,0.8790
65,575,0.04,0.072,0.54,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,135.7500,25.2500,8.2500,5.3750,326.6000,74.0000,67.3333,0.9954,0.8752
65,550,0.04,0.072,0.54,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,157.5000,53.6250,11.2500,2.8750,315.4000,88.0000,143.0000,0.9129,0.8025
70,550,0.045,0.07,0.56,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,128.1250,28.3750,10.8750,2.5000,317.2000,62.6667,75.6667,0.8133,0.7860
60,550,0.04,0.072,0.56,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,131.8750,84.6250,8.6250,2.0000,341.6000,100.3333,225.6667,0.9011,0.8368
70,550,0.04,0.072,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,159.1250,58.3750,12.2500,2.0000,304.6000,81.6667,155.6667,0.9787,0.8668
60,575,0.045,0.072,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,122.2500,33.1250,8.5000,2.0000,332.6000,70.3333,88.3333,0.9272,0.9003
60,550,0.045,0.072,0.54,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,152.1250,35.5000,8.3750,1.8750,314.4000,66.3333,94.6667,0.7525,0.8395
60,550,0.04,0.07,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,162.5000,31.0000,9.0000,1.8750,333.8000,96.3333,82.6667,0.8742,0.8359
60,575,0.045,0.07,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,162.7500,60.7500,8.6250,1.7500,292.8000,68.3333,162.0000,0.9071,0.8647
70,550,0.04,0.072,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,135.6250,41.6250,11.1250,1.6250,340.8000,74.3333,111.0000,0.9695,0.8829
70,550,0.045,0.072,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,151.1250,45.6250,12.1250,1.3750,282.8000,62.3333,121.6667,0.9859,0.8711
70,550,0.045,0.072,0.54,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,157.3750,36.6250,13.7500,1.1250,277.2000,79.3333,97.6667,0.8100,0.8193
70,575,0.045,0.072,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,141.2500,33.1250,11.1250,1.1250,300.4000,59.6667,88.3333,0.7377,0.7976
60,550,0.04,0.07,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,152.6250,51.8750,7.2500,0.6250,328.4000,73.3333,138.3333,0.9954,0.9138
65,550,0.045,0.072,0.54,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,141.0000,37.3750,12.1250,0.6250,311.0000,61.0000,99.6667,0.9581,0.8241
65,575,0.04,0.072,0.54,4.8,0.055,1.4,0.42,0.3,3,0.3750,5,0,128.2500,61.0000,8.0000,0.5000,341.4000,65.3333,162.6667,0.9875,0.8788
70,575,0.04,0.072,0.56,4.8,0.055,1.4,0.4,0.3,3,0.3750,5,0,109.5000,30.6250,11.7500,0.5000,374.2000,66.0000,81.6667,0.8380,0.8327
65,550,0.04,0.07,0.56,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,188.2500,18.8750,10.6250,4.6250,288.8333,88.5000,75.5000,0.8254,0.8395
60,550,0.045,0.07,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,164.1250,96.1250,6.8750,3.5000,359.3333,137.0000,384.5000,0.9000,0.8658
65,550,0.04,0.072,0.56,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,172.5000,9.3750,11.0000,2.6250,303.8333,71.5000,37.5000,0.5340,0.7730
65,575,0.04,0.07,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,112.2500,20.0000,9.1250,2.3750,379.6667,65.5000,80.0000,0.9945,0.8775
60,550,0.04,0.072,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,152.2500,10.6250,8.7500,2.0000,327.5000,99.0000,42.5000,1.0000,0.9573
60,575,0.04,0.072,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,144.3750,12.3750,7.8750,1.8750,351.6667,65.0000,49.5000,0.9953,0.8833
60,575,0.045,0.072,0.56,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,174.1250,41.8750,7.7500,1.5000,291.8333,107.5000,167.5000,0.9976,0.9201
60,575,0.04,0.07,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,152.7500,45.8750,8.0000,1.3750,326.6667,99.5000,183.5000,0.7954,0.8283
70,575,0.045,0.072,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,130.8750,12.3750,10.2500,1.2500,334.0000,60.0000,49.5000,0.9184,0.8582
70,575,0.04,0.07,0.56,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,214.2500,7.2500,10.5000,1.2500,268.8333,86.0000,29.0000,0.9946,0.8378
70,575,0.04,0.07,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,163.0000,53.7500,10.3750,1.1250,304.5000,83.5000,215.0000,0.9961,0.8756
70,575,0.04,0.072,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,160.5000,28.6250,9.7500,1.0000,319.5000,78.5000,114.5000,0.9874,0.8593
60,575,0.045,0.072,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,174.7500,28.2500,8.0000,1.0000,310.5000,98.5000,113.0000,0.9939,0.8820
65,550,0.045,0.072,0.56,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,218.3750,3.3750,10.3750,1.0000,256.3333,57.0000,13.5000,0.9520,0.9014
70,550,0.045,0.07,0.56,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,161.2500,22.1250,10.7500,0.8750,291.3333,81.5000,88.5000,0.8637,0.8224
65,550,0.04,0.072,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,177.2500,29.0000,9.0000,0.7500,314.5000,70.0000,116.0000,0.9720,0.8384
65,575,0.04,0.07,0.56,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,164.1250,26.5000,9.5000,0.7500,302.0000,70.5000,106.0000,0.9883,0.8683
60,575,0.04,0.072,0.56,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,143.0000,22.5000,9.2500,0.7500,323.1667,90.5000,90.0000,0.7049,0.7844
65,575,0.04,0.07,0.56,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,166.1250,7.1250,10.6250,0.7500,305.6667,64.5000,28.5000,0.9934,0.8851
60,550,0.04,0.07,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,164.3750,4.7500,6.6250,0.7500,352.1667,75.5000,19.0000,0.9990,0.9061
65,575,0.045,0.072,0.56,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,198.5000,53.2500,8.5000,0.6250,290.1667,80.5000,213.0000,0.9817,0.8771
65,550,0.045,0.07,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,153.3750,61.0000,10.6250,0.5000,313.1667,82.0000,244.0000,0.9770,0.8105
60,575,0.045,0.07,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,148.6250,38.3750,8.5000,0.5000,314.0000,61.5000,153.5000,0.9988,0.9012
70,575,0.045,0.07,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,184.2500,32.7500,10.8750,0.5000,271.8333,58.5000,131.0000,0.7692,0.8416
65,575,0.045,0.07,0.56,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,155.0000,13.0000,10.6250,0.5000,303.8333,52.0000,52.0000,0.9946,0.8582
60,550,0.04,0.07,0.56,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,186.2500,6.7500,8.5000,0.5000,301.0000,69.5000,27.0000,0.9946,0.8756
60,550,0.045,0.07,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,156.1250,1.7500,7.6250,0.5000,314.3333,48.0000,7.0000,0.9861,0.8792
70,575,0.045,0.072,0.56,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,144.5000,68.1250,12.0000,0.3750,331.0000,87.5000,272.5000,0.9945,0.8240
70,550,0.045,0.07,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,179.5000,34.2500,10.6250,0.3750,303.8333,69.5000,137.0000,0.9911,0.8522
70,550,0.04,0.07,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,180.7500,24.8750,10.5000,0.3750,296.6667,75.0000,99.5000,0.7307,0.7518
60,575,0.04,0.072,0.54,4.8,0.055,1.4,0.4,0.3,2,0.2500,6,0,173.3750,10.3750,7.6250,0.3750,323.5000,54.0000,41.5000,0.9977,0.9042
70,575,0.04,0.072,0.54,4.8,0.055,1.4,0.42,0.3,2,0.2500,6,0,174.2500,11.8750,10.6250,0.2500,305.0000,79.5000,47.5000,0.6439,0.7646
70,575,0.045,0.07,0.56,4.8,0.055,1.4,0.4,0.3,1,0.1250,7,0,186.7500,8.1250,11.7500,4.2500,282.8571,97.0000,65.0000,0.9524,0.8319
65,575,0.04,0.072,0.56,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,154.6250,9.1250,8.1250,2.1250,341.0000,84.0000,73.0000,0.9956,0.8209
65,550,0.045,0.072,0.54,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,197.7500,6.3750,9.1250,2.1250,303.4286,58.0000,51.0000,0.9967,0.8173
65,550,0.04,0.07,0.54,4.8,0.055,1.4,0.4,0.3,1,0.1250,7,0,185.0000,6.1250,10.3750,2.1250,306.7143,68.0000,49.0000,0.9936,0.8677
60,575,0.045,0.07,0.54,4.8,0.055,1.4,0.4,0.3,1,0.1250,7,0,169.6250,2.8750,8.1250,1.6250,308.4286,71.0000,23.0000,0.9894,0.9303
65,550,0.045,0.07,0.54,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,204.3750,11.2500,11.3750,1.1250,280.5714,73.0000,90.0000,0.9762,0.9016
70,575,0.045,0.07,0.56,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,182.0000,8.7500,11.8750,1.1250,289.5714,74.0000,70.0000,0.9637,0.8534
60,575,0.045,0.07,0.56,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,148.6250,8.6250,8.7500,1.1250,305.5714,68.0000,69.0000,1.0000,0.8834
65,575,0.045,0.07,0.54,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,179.1250,17.7500,9.0000,1.0000,311.1429,93.0000,142.0000,0.4293,0.7271
70,575,0.045,0.07,0.54,4.8,0.055,1.4,0.4,0.3,1,0.1250,7,0,174.7500,32.0000,10.8750,0.8750,291.8571,78.0000,256.0000,0.9945,0.8529
70,550,0.04,0.07,0.56,4.8,0.055,1.4,0.4,0.3,1,0.1250,7,0,185.1250,21.6250,10.5000,0.8750,315.7143,96.0000,173.0000,0.9170,0.8463
60,550,0.045,0.07,0.56,4.8,0.055,1.4,0.4,0.3,1,0.1250,7,0,159.8750,13.7500,10.6250,0.8750,326.7143,61.0000,110.0000,0.9306,0.8576
65,575,0.04,0.07,0.54,4.8,0.055,1.4,0.4,0.3,1,0.1250,7,0,164.0000,13.2500,8.8750,0.7500,336.5714,86.0000,106.0000,0.9905,0.8726
60,550,0.045,0.07,0.56,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,187.1250,7.6250,9.1250,0.7500,311.1429,57.0000,61.0000,0.9976,0.8691
65,550,0.04,0.07,0.56,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,156.7500,3.6250,11.2500,0.7500,334.7143,89.0000,29.0000,0.9912,0.8510
70,550,0.045,0.07,0.54,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,195.0000,65.1250,10.3750,0.5000,292.2857,129.0000,521.0000,0.9827,0.8994
70,575,0.045,0.072,0.56,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,137.5000,24.0000,11.6250,0.5000,330.2857,87.0000,192.0000,0.9951,0.8371
65,575,0.045,0.072,0.54,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,149.1250,1.0000,8.1250,0.5000,338.5714,74.0000,8.0000,0.9823,0.8384
65,550,0.045,0.072,0.56,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,180.2500,0.3750,11.5000,0.3750,280.5714,69.0000,3.0000,0.1973,0.6246
65,550,0.045,0.07,0.56,4.8,0.055,1.4,0.4,0.3,1,0.1250,7,0,186.7500,18.7500,10.7500,0.2500,287.0000,72.0000,150.0000,0.9924,0.8808
60,550,0.04,0.072,0.56,4.8,0.055,1.4,0.4,0.3,1,0.1250,7,0,167.0000,13.2500,9.3750,0.2500,340.4286,61.0000,106.0000,0.9910,0.8866
65,550,0.045,0.07,0.56,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,176.1250,9.8750,11.8750,0.2500,300.0000,80.0000,79.0000,0.9917,0.8085
60,550,0.045,0.072,0.54,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,147.3750,6.5000,9.2500,0.2500,339.7143,58.0000,52.0000,1.0000,0.9215
60,550,0.045,0.072,0.56,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,169.1250,21.1250,8.8750,0.1250,312.0000,63.0000,169.0000,1.0000,0.9346
60,575,0.045,0.072,0.56,4.8,0.055,1.4,0.4,0.3,1,0.1250,7,0,199.7500,14.3750,10.1250,0.1250,270.2857,57.0000,115.0000,0.9243,0.8765
65,550,0.04,0.07,0.54,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,178.7500,4.3750,10.6250,0.1250,312.1429,74.0000,35.0000,0.9934,0.8751
60,575,0.04,0.072,0.56,4.8,0.055,1.4,0.42,0.3,1,0.1250,7,0,173.7500,3.7500,7.2500,0.1250,324.1429,69.0000,30.0000,0.9835,0.8581
70,550,0.04,0.07,0.56,4.8,0.055,1.4,0.42,0.3,0,0.0000,8,0,158.6250,0.0000,10.0000,0.0000,344.1250,nan,nan,nan,nan
65,575,0.04,0.072,0.56,4.8,0.055,1.4,0.4,0.3,0,0.0000,8,0,173.2500,0.0000,8.7500,0.0000,340.6250,nan,nan,nan,nan
65,550,0.04,0.072,0.56,4.8,0.055,1.4,0.4,0.3,0,0.0000,8,0,214.7500,0.0000,9.3750,0.0000,312.0000,nan,nan,nan,nan
65,575,0.045,0.072,0.54,4.8,0.055,1.4,0.4,0.3,0,0.0000,8,0,186.0000,0.0000,8.6250,0.0000,308.1250,nan,nan,nan,nan
60,550,0.045,0.072,0.56,4.8,0.055,1.4,0.4,0.3,0,0.0000,8,0,195.1250,0.0000,10.3750,0.0000,305.0000,nan,nan,nan,nan
70,550,0.04,0.072,0.54,4.8,0.055,1.4,0.4,0.3,0,0.0000,8,0,188.2500,0.0000,13.1250,0.0000,304.8750,nan,nan,nan,nan
70,575,0.04,0.07,0.54,4.8,0.055,1.4,0.42,0.3,0,0.0000,8,0,194.2500,0.0000,10.3750,0.0000,303.5000,nan,nan,nan,nan
70,550,0.04,0.072,0.56,4.8,0.055,1.4,0.42,0.3,0,0.0000,8,0,199.2500,0.0000,11.5000,0.0000,300.1250,nan,nan,nan,nan
70,575,0.04,0.07,0.56,4.8,0.055,1.4,0.4,0.3,0,0.0000,8,0,172.8750,0.0000,12.6250,0.0000,298.6250,nan,nan,nan,nan
70,550,0.045,0.072,0.56,4.8,0.055,1.4,0.42,0.3,0,0.0000,8,0,214.5000,0.0000,12.6250,0.0000,270.6250,nan,nan,nan,nan
